order	analysis	script	primary_inputs	purpose
1	Input validation	code/analysis/00_validate_inputs.py	metadata and matrix headers	Validate schemas and sample identifiers
2	Sampling completeness	code/analysis/01_sampling_sufficiency/gamma_diversity.R	metadata; MetaPhlAn taxonomy	Incidence-based gamma diversity and completeness
3	Batch/time sensitivity	code/analysis/02_batch_effects/batch_effects.R	metadata; reads; taxonomy	Assess combined sampling-round/batch variation
4	Genus alpha diversity	code/analysis/03_alpha_diversity/genus_alpha_diversity.R	metadata; taxonomy	Cluster-robust richness and Shannon comparisons
5	Family/species sensitivity	code/analysis/03_alpha_diversity/family_species_alpha_diversity.R	metadata; taxonomy	Taxonomic-resolution sensitivity
6	Feature associations	code/analysis/04_feature_associations/transformation_sensitivity.R	metadata; taxonomy; HUMAnN pathways	Log2 primary models and transformation sensitivity
7	ARG-class associations	code/analysis/05_arg_associations/arg_class_associations.R	metadata; copies-per-cell and RPKM matrices	Primary and scale-sensitivity models
8	Microbiome-resistome concordance	code/analysis/05_arg_associations/microbiome_resistome_procrustes.R	metadata; genus and ARG-subtype matrices	Restricted-permutation Procrustes analysis
9	Canonical strain comparisons	code/analysis/06_strain_sharing/build_canonical_comparisons.py	inStrain comparisons; per-sample genome breadth; metadata	Apply sample-level breadth eligibility, deduplicate, and annotate comparison opportunities
10	Intra/inter baseline	code/analysis/06_strain_sharing/intra_inter_baseline.py	canonical comparisons	Same-round baseline analysis
11	Lagged sensitivity	code/analysis/06_strain_sharing/lagged_sensitivity.py	canonical comparisons	Lagged cross-habitat sensitivity analysis
12	Denominator summary	code/analysis/06_strain_sharing/denominator_summary.py	canonical comparisons	Denominator-aware sharing summary
13	HGT sensitivity	code/analysis/07_hgt_sensitivity/ribosomal_taxonomic_sensitivity.py	candidate fragments; pairwise whole-genome ANI; rRNA/protein annotations	Ribosomal and taxonomic-distance sensitivity after explicit ANI filtering
14	MK multiple testing	code/analysis/08_population_genomics/01_mk_multiple_testing.R	inStrain gene table	Gene-sample testing family and BH correction
15	Asymptotic MK	code/analysis/08_population_genomics/02_asymptotic_mk.R	inStrain SNV and genome tables	Pooled and allele-frequency-aware MK estimates
16	Recurrence analysis	code/analysis/08_population_genomics/03_recurrence_analysis.R	MK tests; SNV and genome tables	Stratified gene-recurrence null
